Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.351600e-05,-0.282094
-4.351520e-05,-0.279906
-4.351440e-05,-0.275906
-4.351360e-05,-0.275375
-4.351280e-05,-0.271156
-4.351200e-05,-0.272969
-4.351120e-05,-0.277094
-4.351040e-05,-0.2785
-4.350960e-05,-0.275125
-4.350880e-05,-0.2775
-4.350800e-05,-0.284594
-4.350720e-05,-0.280687
-4.350640e-05,-0.2765
-4.350560e-05,-0.278938
-4.350480e-05,-0.281781
-4.350400e-05,-0.279594
-4.350320e-05,-0.275594
-4.350240e-05,-0.269562
-4.350160e-05,-0.277781
-4.350080e-05,-0.272156
-4.350000e-05,-0.277625
-4.349920e-05,-0.282281
-4.349840e-05,-0.281719
-4.349760e-05,-0.28425
-4.349680e-05,-0.279875
-4.349600e-05,-0.282531
-4.349520e-05,-0.273781
-4.349440e-05,-0.271937
-4.349360e-05,-0.277688
-4.349280e-05,-0.273813
-4.349200e-05,-0.276406
-4.349120e-05,-0.277594
-4.349040e-05,-0.279813
-4.348960e-05,-0.277875
-4.348880e-05,-0.289906
-4.348800e-05,-0.286187
-4.348720e-05,-0.281375
-4.348640e-05,-0.286125
-4.348560e-05,-0.285094
-4.348480e-05,-0.283969
-4.348400e-05,-0.279094
-4.348320e-05,-0.282687
-4.348240e-05,-0.277906
-4.348160e-05,-0.277625
-4.348080e-05,-0.277125
-4.348000e-05,-0.287187
-4.347920e-05,-0.282875
-4.347840e-05,-0.288906
-4.347760e-05,-0.287281
-4.347680e-05,-0.285469
-4.347600e-05,-0.289094
-4.347520e-05,-0.29
-4.347440e-05,-0.285719
-4.347360e-05,-0.273531
-4.347280e-05,-0.273781
-4.347200e-05,-0.277969
-4.347120e-05,-0.275875
-4.347040e-05,-0.276625
-4.346960e-05,-0.284031
-4.346880e-05,-0.279656
